Date,open,high,low,close_price,volume
02.01.2020,14.164821385095234,14.496962173530585,14.145283253244024,14.48719310760498,109370878
03.01.2020,14.330891167199153,14.389503696990468,13.764298410526509,13.94013786315918,153873531
06.01.2020,13.705684854711961,13.754529250287899,13.187936497517494,13.256318092346191,136423179
07.01.2020,13.47123272413826,13.539614318206734,13.207474481567468,13.227011680603027,154729229
08.01.2020,12.74833907640156,13.305162775777717,12.728800945096737,13.187936782836914,197012716
09.01.2020,13.705685519244664,13.94990657733627,13.598228589070942,13.93036937713623,176543928
10.01.2020,13.94990660181447,14.106207930206658,13.842449671452192,14.057364463806152,158991847
13.01.2020,14.194127651242647,14.516499373752392,14.135515118947822,14.48719310760498,164642773
14.01.2020,14.457885515802973,14.594648699703912,14.369965793792758,14.477422714233398,166160589
15.01.2020,14.379735946655273,14.545806338209118,14.272278086456085,14.379735946655273,136224950
16.01.2020,14.428579746374767,14.907252769676372,14.428579746374767,14.692337989807129,219962631
17.01.2020,14.780257943544013,14.868177669925092,14.555574094833547,14.67280101776123,134816684
20.01.2020,14.731413841247559,14.897484231804583,14.692338510035869,14.731413841247559,94045278
21.01.2020,14.409042238716042,14.575112630573969,14.389504107142455,14.506731033325195,117047926
22.01.2020,14.614186529179422,14.711875314210248,14.3797345630606,14.41880989074707,108602472
23.01.2020,14.311353631516317,14.37973616128996,13.92060031122151,13.93036937713623,146183222
24.01.2020,14.262509028033252,14.311352490453698,13.940137331585797,14.203895568847656,136142742
27.01.2020,13.8619857162189,14.018287963211899,13.725222531090349,13.774066925048828,114894300
28.01.2020,13.89129320886561,13.988981067243905,13.754529089180782,13.832679748535156,127703336
29.01.2020,13.988981125640725,13.988981125640725,13.774067277333714,13.783835411071777,90320863
30.01.2020,13.59822746575805,13.64707185966735,13.266086705130014,13.471232414245605,143112881
31.01.2020,13.559152630842732,13.607997026531166,13.363775979718357,13.383313179016113,98842870
03.02.2020,13.422388539574039,13.627534256625578,13.295393483148858,13.510308265686035,118491958
04.02.2020,13.715453734802676,14.008519172668457,13.705684669493637,14.008519172668457,96215806
05.02.2020,14.067132112688201,14.50673074815857,14.028056781938542,14.27227783203125,198619514
06.02.2020,14.467655070257345,14.575111994333133,14.282046554928119,14.389503479003906,168210476
07.02.2020,14.409042158142547,14.467655620906159,14.115976707583263,14.12574577331543,76038851
10.02.2020,14.06713231105843,14.233202701993692,13.57869020398516,13.695917129516602,149563493
